ts_s,ts_ms,Sensor1_raw,Sensor2_raw,Sensor3_raw,Sensor4_raw,Sensor5_raw,Sensor6_raw,Sensor7_raw,Sensor8_raw,Sensor9_raw,Sensor10_raw
13,13379,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
14,13689,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
14,14000,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
14,14202,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
14,14411,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
15,14722,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
15,15037,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
15,15368,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
16,15649,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
16,15850,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
16,16143,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
16,16354,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
17,16567,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
17,16770,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
17,17083,25.75,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
17,17375,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
18,17577,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
18,17887,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
18,18097,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
18,18297,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
19,18508,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
19,18809,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
19,19109,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
19,19431,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
20,19648,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
20,19875,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
20,20075,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
20,20276,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
20,20480,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
21,20761,26.0,26.25,25.75,26.5,26.0,26.25,26.25,26.0,26.0,26.5
21,21061,26.0,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
21,21371,25.75,26.25,26.0,26.5,26.0,26.25,26.0,26.0,26.0,26.5
22,21681,25.75,26.25,26.0,26.5,26.0,26.25,26.0,26.0,26.0,26.5
22,21893,25.75,26.25,26.0,26.5,26.0,26.25,26.0,26.0,26.0,26.5
22,22184,25.75,26.25,26.0,26.5,26.0,26.25,26.0,26.0,26.0,26.5
22,22498,25.75,26.25,26.0,26.5,26.0,26.25,26.0,26.0,26.0,26.5
23,22809,25.75,26.25,26.0,26.5,26.0,26.25,26.0,26.0,26.0,26.5
23,23112,25.75,26.25,26.0,26.5,26.0,26.25,26.0,26.0,26.0,26.5
23,23413,25.75,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
24,23724,25.75,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
24,23935,25.75,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
24,24237,25.75,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
25,24548,25.75,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
25,24759,25.75,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
25,25059,25.75,26.25,25.75,26.5,26.0,26.25,26.0,26.0,26.0,26.5
25,25370,25.75,26.25,26.0,26.5,26.0,26.25,26.25,26.0,26.0,26.5
